MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,SBase_P2P,SBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
207,1,4,500,1.142272949,19.6761322,0.481414795,6.006851196,0.752,2.333,7.132,1,1,1,1,100,0,1,0
208,1,1,200,0.938720703,25.02494812,0.729980469,6.868896484,0.958,2.242,8.226,1,1,1,1,100,0,1,0
209,1,3,200,1.091766357,24.59083557,0.720367432,7.682266235,0.826,2.871,8.639,1,1,0,0,100,0,1,0
210,1,4,500,2.053985596,33.25614929,1.271514893,12.88108826,0.94,3.128,8.851,1,1,0,0,100,0,1,0
211,1,1,200,1.374053955,29.8903656,0.972900391,9.167938232,0.678,3.715,9.018,0,1,0,0,100,0,1,0
212,1,3,500,1.519470215,30.31448364,0.767669678,10.59364319,0.794,3.746,8.764,1,1,0,0,100,0,1,0
213,1,4,500,1.412353516,29.68185425,0.897521973,11.75369263,2.074,3.837,8.069,1,0,0,0,100,0,1,0
214,1,1,200,1.941375732,33.42720032,0.784759521,9.675369263,0.806,4.592,8.19,1,1,0,0,100,0,1,0
215,1,3,500,1.443939209,27.46917725,1.145629883,11.11190796,0.537,4.612,8.612,1,1,0,0,100,0,1,0
216,1,4,200,1.694335938,33.5823822,1.068725586,10.6867218,0.749,4.944,8.503,1,1,0,0,100,0,1,0
217,1,1,200,1.547393799,38.86863708,1.202697754,16.67121887,0.486,4.855,9.289,1,1,0,0,100,0,1,0
